メーカー,旧型/対象型式,後継/代替,根拠資料,根拠URL,確認日
オムロン,K2CA-DO-D2,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
オムロン,K2CA-DO-F4,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
オムロン,K2CA-DO-R2,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
オムロン,K2CA-DO3-D2,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
オムロン,K2CA-DO3-F4,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
オムロン,K2CA-DO3-R2,K2OC,K2CA-D 形式/種類,https://www.fa.omron.co.jp/products/family/819/lineup/,2026-08-09
三菱電機,MDG-A1V-R,MDG-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MDG-A1V-RD,MDG-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MDG-A2V-R,MDG-A4,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MDG-A2V-RD,MDG-A4,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MGR-A1T-R,MGR-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MGR-A1V-F,MGR-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MGR-A1V-R,MGR-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MGR-A1V-RD,MGR-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MGR-A1VB-F,MGR-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOC-A1T-R,MOC-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOC-A1T-RD,MOC-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOC-A1V-R,MOC-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOC-A1V-RD,MOC-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOV-A1V-R,MOV-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MOV-A1V-RD,MOV-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MUV-A1V-R,MUV-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
三菱電機,MUV-A1V-RD,MUV-A3,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ,https://www.mitsubishielectric.co.jp/fa/products/mvd/pror/ex/renew/renewal/index.html,2026-08-09
